iter	Logloss
0	0.6876762395
1	0.6841240599
2	0.6801499466
3	0.6748668821
4	0.6710767173
5	0.6671272197
6	0.662985762
7	0.6578024695
8	0.6538663114
9	0.6507348546
10	0.6473356861
11	0.6427157418
12	0.6391853871
13	0.6342029964
14	0.6312230389
15	0.6268680323
16	0.6225815502
17	0.6179439417
18	0.6144651685
19	0.6114965852
20	0.6078747242
21	0.6050937576
22	0.6019624149
23	0.5991620784
24	0.5963384565
25	0.592239177
26	0.5886332691
27	0.5859465277
28	0.5831526794
29	0.5805616764
30	0.5778154116
31	0.5756757912
32	0.572872193
33	0.5695733548
34	0.5663439047
35	0.5635128744
36	0.5608922602
37	0.5584096307
38	0.5550874253
39	0.551905258
40	0.5493467176
41	0.5475427823
42	0.5450508579
43	0.5428543669
44	0.540436204
45	0.5368103448
46	0.5338774372
47	0.5310487148
48	0.5274968585
49	0.5243105821
50	0.5219486339
51	0.5184197431
52	0.516653647
53	0.5144639353
54	0.5124191412
55	0.5107134916
56	0.5086527581
57	0.5065035452
58	0.5040382127
59	0.501931825
60	0.4997799098
61	0.4980129612
62	0.495987569
63	0.4943201215
64	0.492367555
65	0.4898129173
66	0.4880530657
67	0.4856163261
68	0.4828084459
69	0.4810991502
70	0.4790449169
71	0.4772356338
72	0.4747369208
73	0.4730317659
74	0.4716312346
75	0.4700408998
76	0.4684419828
77	0.4660713819
78	0.4641659151
79	0.4622482477
80	0.4606366257
81	0.4579561715
82	0.4561753672
83	0.4546802993
84	0.452501597
85	0.4507614535
86	0.4488941102
87	0.4470593466
88	0.4451711946
89	0.4426088298
90	0.4404488457
91	0.4394312904
92	0.4382050361
93	0.4363617984
94	0.4350678044
95	0.4334262867
96	0.4320667486
97	0.4307253846
98	0.4291552263
99	0.4275594357
100	0.426401228
101	0.4244643481
102	0.4234046472
103	0.422100336
104	0.4205539243
105	0.4184092606
106	0.4171097159
107	0.4155858213
108	0.4138674937
109	0.4126115788
110	0.4108367106
111	0.4095884692
112	0.4082451636
113	0.4068913485
114	0.405529916
115	0.4041777592
116	0.4022349231
117	0.400911378
118	0.3996705198
119	0.3983909868
120	0.3970799514
121	0.3956309286
122	0.3943836641
123	0.3931939158
124	0.3919050648
125	0.3905356155
126	0.3888845709
127	0.3873244359
128	0.3855082353
129	0.384179237
130	0.3828080774
131	0.381404843
132	0.379941129
133	0.3780994648
134	0.3772408694
135	0.3763770108
136	0.3750539764
137	0.3737433174
138	0.3724885156
139	0.3712995376
140	0.3696894162
141	0.3686554654
142	0.3678901814
143	0.3668418151
144	0.3657069044
145	0.3646866259
146	0.3637740056
147	0.3627950692
148	0.3619107708
149	0.360974561
150	0.3598938441
151	0.3587172053
152	0.3576655443
153	0.3561682956
154	0.3550496339
155	0.3538387983
156	0.3524925682
157	0.3514041306
158	0.3504732053
159	0.3491831954
160	0.3483159998
161	0.3472568619
162	0.3467403863
163	0.3454898322
164	0.3445702725
165	0.3438803011
166	0.3428264383
167	0.3418838417
168	0.3411153626
169	0.3397732609
170	0.3385135575
171	0.3375557559
172	0.33661844
173	0.3352984142
174	0.334113171
175	0.3333574237
176	0.3323845572
177	0.3314909497
178	0.330467251
179	0.3292338997
180	0.3283827386
181	0.3274077245
182	0.3266076273
183	0.3258477518
184	0.32503373
185	0.3241734198
186	0.3233591946
187	0.3224061391
188	0.32137427
189	0.320305161
190	0.3190157542
